shop_id,item_id,product_cnt,transactions,date_block_num,features,prediction
19,15047,2,2,33,"[19.0,15047.0,2.0,33.0]",1.802360095
12,19948,1,1,33,"[12.0,19948.0,1.0,33.0]",1.815410102
7,1090,1,1,33,"[7.0,1090.0,1.0,33.0]",2.027118466
6,17481,1,1,33,"[6.0,17481.0,1.0,33.0]",1.802360095
44,13277,1,1,33,"[44.0,13277.0,1.0,33.0]",1.768773314
26,15458,1,1,33,"[26.0,15458.0,1.0,33.0]",1.930828387
24,15040,2,1,33,"[24.0,15040.0,1.0,33.0]",1.815080774
35,1971,1,1,33,"[35.0,1971.0,1.0,33.0]",2.191551799
16,15230,1,1,33,"[16.0,15230.0,1.0,33.0]",1.802360095
28,17874,1,1,33,"[28.0,17874.0,1.0,33.0]",1.930828387
28,16954,1,1,33,"[28.0,16954.0,1.0,33.0]",1.930828387
42,11567,1,1,33,"[42.0,11567.0,1.0,33.0]",1.841275232
39,11655,1,1,33,"[39.0,11655.0,1.0,33.0]",1.841275232
59,2431,3,3,33,"[59.0,2431.0,3.0,33.0]",2.411538393
48,2936,1,1,33,"[48.0,2936.0,1.0,33.0]",2.191551799
12,1578,6,4,33,"[12.0,1578.0,4.0,33.0]",2.401615447
26,14398,1,1,33,"[26.0,14398.0,1.0,33.0]",1.930828387
21,1586,6,3,33,"[21.0,1586.0,3.0,33.0]",2.25979836
37,10918,1,1,33,"[37.0,10918.0,1.0,33.0]",1.811630649
47,11694,1,1,33,"[47.0,11694.0,1.0,33.0]",1.841275232
18,6457,1,1,33,"[18.0,6457.0,1.0,33.0]",2.145967571
10,21843,1,1,33,"[10.0,21843.0,1.0,33.0]",1.915829069
34,2878,1,1,33,"[34.0,2878.0,1.0,33.0]",2.191551799
35,8455,2,2,33,"[35.0,8455.0,2.0,33.0]",1.895422543
47,6763,1,1,33,"[47.0,6763.0,1.0,33.0]",2.127584632
6,14308,1,1,33,"[6.0,14308.0,1.0,33.0]",1.802360095
42,16163,1,1,33,"[42.0,16163.0,1.0,33.0]",1.768773314
57,2860,1,1,33,"[57.0,2860.0,1.0,33.0]",2.191551799
47,14973,1,1,33,"[47.0,14973.0,1.0,33.0]",1.768773314
47,13449,1,1,33,"[47.0,13449.0,1.0,33.0]",1.768773314
18,5951,1,1,33,"[18.0,5951.0,1.0,33.0]",2.145967571
19,6356,1,1,33,"[19.0,6356.0,1.0,33.0]",2.145967571
31,5324,1,1,33,"[31.0,5324.0,1.0,33.0]",2.224655712
58,3719,1,1,33,"[58.0,3719.0,1.0,33.0]",2.191551799
22,10750,1,1,33,"[22.0,10750.0,1.0,33.0]",1.95886299
42,5516,1,1,33,"[42.0,5516.0,1.0,33.0]",2.141697101
35,10449,1,1,33,"[35.0,10449.0,1.0,33.0]",1.811630649
53,21358,1,1,33,"[53.0,21358.0,1.0,33.0]",1.978043875
3,1563,1,1,33,"[3.0,1563.0,1.0,33.0]",2.027118466
59,8845,1,1,33,"[59.0,8845.0,1.0,33.0]",1.858472411
48,4054,1,1,33,"[48.0,4054.0,1.0,33.0]",2.141697101
47,13238,1,1,33,"[47.0,13238.0,1.0,33.0]",1.768773314
14,4349,1,1,33,"[14.0,4349.0,1.0,33.0]",2.145967571
14,4365,1,1,33,"[14.0,4365.0,1.0,33.0]",2.145967571
19,10448,1,1,33,"[19.0,10448.0,1.0,33.0]",1.952460986
2,19406,1,1,33,"[2.0,19406.0,1.0,33.0]",1.815410102
44,22087,10,6,33,"[44.0,22087.0,6.0,33.0]",4.300003377
47,12882,1,1,33,"[47.0,12882.0,1.0,33.0]",1.768773314
52,13407,1,1,33,"[52.0,13407.0,1.0,33.0]",1.768773314
4,1971,4,4,33,"[4.0,1971.0,4.0,33.0]",2.764621143
28,4719,8,7,33,"[28.0,4719.0,7.0,33.0]",4.782374265
26,10348,2,2,33,"[26.0,10348.0,2.0,33.0]",2.047235016
42,4041,1,1,33,"[42.0,4041.0,1.0,33.0]",2.141697101
35,14274,1,1,33,"[35.0,14274.0,1.0,33.0]",1.768773314
58,21760,1,1,33,"[58.0,21760.0,1.0,33.0]",1.978043875
57,22088,12,8,33,"[57.0,22088.0,8.0,33.0]",9.331810399
16,2817,1,1,33,"[16.0,2817.0,1.0,33.0]",2.195822269
18,11354,5,3,33,"[18.0,11354.0,3.0,33.0]",2.265265997
3,12040,1,1,33,"[3.0,12040.0,1.0,33.0]",1.924657505
31,1556,2,2,33,"[31.0,1556.0,2.0,33.0]",2.105806607
24,7894,4,3,33,"[24.0,7894.0,3.0,33.0]",2.261526463
31,13247,23,12,33,"[31.0,13247.0,12.0,33.0]",14.77097514
31,16169,5,5,33,"[31.0,16169.0,5.0,33.0]",3.728212083
18,8166,1,1,33,"[18.0,8166.0,1.0,33.0]",1.971964031
6,20448,1,1,33,"[6.0,20448.0,1.0,33.0]",2.499152451
7,8172,1,1,33,"[7.0,8172.0,1.0,33.0]",1.914515966
7,16208,2,2,33,"[7.0,16208.0,2.0,33.0]",1.802360095
7,6128,2,2,33,"[7.0,6128.0,2.0,33.0]",2.145967571
28,12023,3,3,33,"[28.0,12023.0,3.0,33.0]",2.341126252
31,11655,1,1,33,"[31.0,11655.0,1.0,33.0]",2.057965824
41,10298,1,1,33,"[41.0,10298.0,1.0,33.0]",1.846046882
39,22100,1,1,33,"[39.0,22100.0,1.0,33.0]",1.978043875
59,11784,1,1,33,"[59.0,11784.0,1.0,33.0]",1.853700761
59,5583,1,1,33,"[59.0,5583.0,1.0,33.0]",2.141697101
53,11435,1,1,33,"[53.0,11435.0,1.0,33.0]",1.841275232
55,1559,17,6,33,"[55.0,1559.0,6.0,33.0]",3.700132495
6,3071,1,1,33,"[6.0,3071.0,1.0,33.0]",2.195822269
10,5664,1,1,33,"[10.0,5664.0,1.0,33.0]",2.145967571
28,15040,2,2,33,"[28.0,15040.0,2.0,33.0]",1.930828387
35,14398,1,1,33,"[35.0,14398.0,1.0,33.0]",1.768773314
57,7458,1,1,33,"[57.0,7458.0,1.0,33.0]",2.097806828
15,22002,1,1,33,"[15.0,22002.0,1.0,33.0]",1.915829069
44,9928,3,3,33,"[44.0,9928.0,3.0,33.0]",2.12920731
55,1567,23,8,33,"[55.0,1567.0,8.0,33.0]",4.850105964
21,7230,2,2,33,"[21.0,7230.0,2.0,33.0]",2.114770598
34,3424,1,1,33,"[34.0,3424.0,1.0,33.0]",2.191551799
56,9047,1,1,33,"[56.0,9047.0,1.0,33.0]",1.846046882
2,7202,2,2,33,"[2.0,7202.0,2.0,33.0]",2.102077298
4,7840,2,2,33,"[4.0,7840.0,2.0,33.0]",2.102077298
26,15304,1,1,33,"[26.0,15304.0,1.0,33.0]",1.930828387
25,2816,2,2,33,"[25.0,2816.0,2.0,33.0]",2.274510411
14,7211,1,1,33,"[14.0,7211.0,1.0,33.0]",2.102077298
19,11930,1,1,33,"[19.0,11930.0,1.0,33.0]",1.982105569
21,4548,1,1,33,"[21.0,4548.0,1.0,33.0]",2.158660871
21,7172,4,4,33,"[21.0,7172.0,4.0,33.0]",2.713347276
42,14822,1,1,33,"[42.0,14822.0,1.0,33.0]",1.768773314
31,13253,1,1,33,"[31.0,13253.0,1.0,33.0]",1.930828387
14,571,1,1,33,"[14.0,571.0,1.0,33.0]",2.027118466
18,13283,1,1,33,"[18.0,13283.0,1.0,33.0]",1.802360095
2,10210,2,2,33,"[2.0,10210.0,2.0,33.0]",1.913926697
58,3928,3,2,33,"[58.0,3928.0,2.0,33.0]",2.141697101
48,19440,1,1,33,"[48.0,19440.0,1.0,33.0]",1.781823321
7,4351,2,2,33,"[7.0,4351.0,2.0,33.0]",2.145967571
28,12828,1,1,33,"[28.0,12828.0,1.0,33.0]",1.930828387
21,20725,1,1,33,"[21.0,20725.0,1.0,33.0]",2.499152451
25,1556,4,3,33,"[25.0,1556.0,3.0,33.0]",2.325793201
21,4385,1,1,33,"[21.0,4385.0,1.0,33.0]",2.158660871
59,3556,1,1,33,"[59.0,3556.0,1.0,33.0]",2.191551799
47,10200,4,4,33,"[47.0,10200.0,4.0,33.0]",2.283717697
47,13212,1,1,33,"[47.0,13212.0,1.0,33.0]",1.768773314
50,16787,1,1,33,"[50.0,16787.0,1.0,33.0]",1.768773314
5,3076,2,2,33,"[5.0,3076.0,2.0,33.0]",2.195822269
31,14659,1,1,33,"[31.0,14659.0,1.0,33.0]",1.930828387
35,10202,23,11,33,"[35.0,10202.0,11.0,33.0]",14.8180719
24,2470,1,1,33,"[24.0,2470.0,1.0,33.0]",2.202224273
25,9001,1,1,33,"[25.0,9001.0,1.0,33.0]",2.047235016
18,7004,1,1,33,"[18.0,7004.0,1.0,33.0]",2.131855102
31,8819,1,1,33,"[31.0,8819.0,1.0,33.0]",2.047235016
28,18831,1,1,33,"[28.0,18831.0,1.0,33.0]",1.930828387
31,2360,2,2,33,"[31.0,2360.0,2.0,33.0]",2.274510411
31,18579,2,2,33,"[31.0,18579.0,2.0,33.0]",1.930828387
31,12473,2,2,33,"[31.0,12473.0,2.0,33.0]",1.930828387
44,6185,1,1,33,"[44.0,6185.0,1.0,33.0]",2.141697101
37,1571,1,1,33,"[37.0,1571.0,1.0,33.0]",1.992267089
56,2297,1,1,33,"[56.0,2297.0,1.0,33.0]",2.191551799
4,7252,1,1,33,"[4.0,7252.0,1.0,33.0]",2.102077298
41,14844,3,2,33,"[41.0,14844.0,2.0,33.0]",1.768773314
31,20448,2,2,33,"[31.0,20448.0,2.0,33.0]",2.530180143
36,13824,1,1,33,"[36.0,13824.0,1.0,33.0]",1.768773314
56,12473,1,1,33,"[56.0,12473.0,1.0,33.0]",1.768773314
2,8452,1,1,33,"[2.0,8452.0,1.0,33.0]",1.914515966
31,12677,1,1,33,"[31.0,12677.0,1.0,33.0]",1.930828387
21,13958,1,1,33,"[21.0,13958.0,1.0,33.0]",1.802360095
46,7067,1,1,33,"[46.0,7067.0,1.0,33.0]",2.127584632
19,22001,2,2,33,"[19.0,22001.0,2.0,33.0]",1.915829069
2,17887,1,1,33,"[2.0,17887.0,1.0,33.0]",1.802360095
35,16013,1,1,33,"[35.0,16013.0,1.0,33.0]",1.768773314
36,6497,2,1,33,"[36.0,6497.0,1.0,33.0]",2.141697101
57,4904,1,1,33,"[57.0,4904.0,1.0,33.0]",2.141697101
47,22167,1,1,33,"[47.0,22167.0,1.0,33.0]",1.978043875
31,10578,1,1,33,"[31.0,10578.0,1.0,33.0]",2.028321241
36,3353,1,1,33,"[36.0,3353.0,1.0,33.0]",2.191551799
41,1578,2,2,33,"[41.0,1578.0,2.0,33.0]",1.992267089
44,10942,1,1,33,"[44.0,10942.0,1.0,33.0]",1.811630649
34,2423,3,3,33,"[34.0,2423.0,3.0,33.0]",2.411538393
59,15757,1,1,33,"[59.0,15757.0,1.0,33.0]",1.781198843
59,2423,5,3,33,"[59.0,2423.0,3.0,33.0]",2.411538393
55,515,2,2,33,"[55.0,515.0,2.0,33.0]",1.992267089
52,1583,12,2,33,"[52.0,1583.0,2.0,33.0]",1.992267089
15,2592,1,1,33,"[15.0,2592.0,1.0,33.0]",2.195822269
22,2422,2,2,33,"[22.0,2422.0,2.0,33.0]",2.202224273
18,1581,2,2,33,"[18.0,1581.0,2.0,33.0]",2.027118466
19,1578,2,2,33,"[19.0,1578.0,2.0,33.0]",2.027118466
21,13317,1,1,33,"[21.0,13317.0,1.0,33.0]",1.802360095
34,1914,1,1,33,"[34.0,1914.0,1.0,33.0]",2.191551799
47,1540,1,1,33,"[47.0,1540.0,1.0,33.0]",1.992267089
25,20606,1,1,33,"[25.0,20606.0,1.0,33.0]",2.530180143
21,18045,1,1,33,"[21.0,18045.0,1.0,33.0]",1.802360095
57,14552,1,1,33,"[57.0,14552.0,1.0,33.0]",1.781198843
52,8249,1,1,33,"[52.0,8249.0,1.0,33.0]",1.895422543
15,11926,1,1,33,"[15.0,11926.0,1.0,33.0]",1.982105569
6,4628,1,1,33,"[6.0,4628.0,1.0,33.0]",2.145967571
7,17774,1,1,33,"[7.0,17774.0,1.0,33.0]",1.802360095
22,17774,1,1,33,"[22.0,17774.0,1.0,33.0]",1.815080774
36,9365,1,1,33,"[36.0,9365.0,1.0,33.0]",1.846046882
21,4240,1,1,33,"[21.0,4240.0,1.0,33.0]",2.158660871
59,9402,1,1,33,"[59.0,9402.0,1.0,33.0]",1.858472411
57,19291,1,1,33,"[57.0,19291.0,1.0,33.0]",1.79424885
55,1793,7,4,33,"[55.0,1793.0,4.0,33.0]",2.36676407
12,19034,1,1,33,"[12.0,19034.0,1.0,33.0]",1.802360095
3,15040,1,1,33,"[3.0,15040.0,1.0,33.0]",1.802360095
25,19797,1,1,33,"[25.0,19797.0,1.0,33.0]",1.943878394
42,7843,1,1,33,"[42.0,7843.0,1.0,33.0]",2.097806828
35,4963,1,1,33,"[35.0,4963.0,1.0,33.0]",2.141697101
52,14831,1,1,33,"[52.0,14831.0,1.0,33.0]",1.768773314
15,3148,1,1,33,"[15.0,3148.0,1.0,33.0]",2.195822269
35,5459,1,1,33,"[35.0,5459.0,1.0,33.0]",2.141697101
7,17945,1,1,33,"[7.0,17945.0,1.0,33.0]",1.802360095
31,15397,1,1,33,"[31.0,15397.0,1.0,33.0]",1.930828387
56,15493,1,1,33,"[56.0,15493.0,1.0,33.0]",1.768773314
56,4055,1,1,33,"[56.0,4055.0,1.0,33.0]",2.141697101
58,17747,1,1,33,"[58.0,17747.0,1.0,33.0]",1.781198843
53,7673,1,1,33,"[53.0,7673.0,1.0,33.0]",2.097806828
16,2269,1,1,33,"[16.0,2269.0,1.0,33.0]",2.195822269
28,5828,1,1,33,"[28.0,5828.0,1.0,33.0]",2.224655712
28,7812,1,1,33,"[28.0,7812.0,1.0,33.0]",2.180765439
26,2919,1,1,33,"[26.0,2919.0,1.0,33.0]",2.274510411
22,13702,1,1,33,"[22.0,13702.0,1.0,33.0]",1.815080774
39,17010,1,1,33,"[39.0,17010.0,1.0,33.0]",1.768773314
15,5660,5,5,33,"[15.0,5660.0,5.0,33.0]",3.54012694
28,20884,1,1,33,"[28.0,20884.0,1.0,33.0]",2.530180143
14,486,1,1,33,"[14.0,486.0,1.0,33.0]",2.027118466
14,8192,1,1,33,"[14.0,8192.0,1.0,33.0]",1.971964031
28,5341,1,1,33,"[28.0,5341.0,1.0,33.0]",2.224655712
31,11193,1,1,33,"[31.0,11193.0,1.0,33.0]",2.028321241
25,1905,4,4,33,"[25.0,1905.0,4.0,33.0]",2.843309284
31,17290,8,6,33,"[31.0,17290.0,6.0,33.0]",4.689362327
55,9524,3,3,33,"[55.0,9524.0,3.0,33.0]",2.12920731
47,22088,8,5,33,"[47.0,22088.0,5.0,33.0]",3.995901565
48,16843,6,5,33,"[48.0,16843.0,5.0,33.0]",3.56615701
50,10661,2,2,33,"[50.0,10661.0,2.0,33.0]",1.811630649
19,10131,1,1,33,"[19.0,10131.0,1.0,33.0]",1.971374761
7,14421,1,1,33,"[7.0,14421.0,1.0,33.0]",1.802360095
25,17898,3,3,33,"[25.0,17898.0,3.0,33.0]",2.213988815
42,2877,2,2,33,"[42.0,2877.0,2.0,33.0]",2.191551799
39,7202,1,1,33,"[39.0,7202.0,1.0,33.0]",2.097806828
57,2955,1,1,33,"[57.0,2955.0,1.0,33.0]",2.191551799
47,13463,2,2,33,"[47.0,13463.0,2.0,33.0]",1.768773314
6,18101,2,2,33,"[6.0,18101.0,2.0,33.0]",1.802360095
28,14839,10,4,33,"[28.0,14839.0,4.0,33.0]",2.52265516
31,18571,2,2,33,"[31.0,18571.0,2.0,33.0]",1.930828387
52,4719,1,1,33,"[52.0,4719.0,1.0,33.0]",2.141697101
6,20475,1,1,33,"[6.0,20475.0,1.0,33.0]",2.499152451
7,7233,1,1,33,"[7.0,7233.0,1.0,33.0]",2.102077298
28,8459,1,1,33,"[28.0,8459.0,1.0,33.0]",2.013399199
56,14064,1,1,33,"[56.0,14064.0,1.0,33.0]",1.768773314
58,2818,1,1,33,"[58.0,2818.0,1.0,33.0]",2.191551799
19,1988,1,1,33,"[19.0,1988.0,1.0,33.0]",2.195822269
6,19674,1,1,33,"[6.0,19674.0,1.0,33.0]",1.815410102
42,14389,2,2,33,"[42.0,14389.0,2.0,33.0]",1.768773314
14,8737,1,1,33,"[14.0,8737.0,1.0,33.0]",1.971374761
39,14987,1,1,33,"[39.0,14987.0,1.0,33.0]",1.768773314
19,10915,1,1,33,"[19.0,10915.0,1.0,33.0]",1.952460986
26,2859,1,1,33,"[26.0,2859.0,1.0,33.0]",2.274510411
46,13958,1,1,33,"[46.0,13958.0,1.0,33.0]",1.768773314
42,16822,1,1,33,"[42.0,16822.0,1.0,33.0]",1.768773314
56,4721,2,2,33,"[56.0,4721.0,2.0,33.0]",2.141697101
16,8534,1,1,33,"[16.0,8534.0,1.0,33.0]",1.971374761
22,17734,1,1,33,"[22.0,17734.0,1.0,33.0]",1.815080774
21,8397,1,1,33,"[21.0,8397.0,1.0,33.0]",1.984657331
25,13240,16,12,33,"[25.0,13240.0,12.0,33.0]",14.77097514
46,17581,1,1,33,"[46.0,17581.0,1.0,33.0]",1.768773314
38,13889,2,2,33,"[38.0,13889.0,2.0,33.0]",1.768773314
56,15511,1,1,33,"[56.0,15511.0,1.0,33.0]",1.768773314
57,19258,1,1,33,"[57.0,19258.0,1.0,33.0]",1.79424885
49,10210,1,1,33,"[49.0,10210.0,1.0,33.0]",1.846046882
47,9927,5,5,33,"[47.0,9927.0,5.0,33.0]",3.489274621
52,7842,1,1,33,"[52.0,7842.0,1.0,33.0]",2.097806828
52,10659,2,2,33,"[52.0,10659.0,2.0,33.0]",1.811630649
28,3071,2,2,33,"[28.0,3071.0,2.0,33.0]",2.274510411
26,6763,1,1,33,"[26.0,6763.0,1.0,33.0]",2.210543244
21,17261,1,1,33,"[21.0,17261.0,1.0,33.0]",1.802360095
42,14736,1,1,33,"[42.0,14736.0,1.0,33.0]",1.768773314
39,1965,1,1,33,"[39.0,1965.0,1.0,33.0]",2.191551799
57,1540,1,1,33,"[57.0,1540.0,1.0,33.0]",1.992267089
57,3733,3,2,33,"[57.0,3733.0,2.0,33.0]",2.191551799
56,1879,1,1,33,"[56.0,1879.0,1.0,33.0]",2.191551799
5,16163,2,2,33,"[5.0,16163.0,2.0,33.0]",1.802360095
5,3364,1,1,33,"[5.0,3364.0,1.0,33.0]",2.195822269
6,15256,2,2,33,"[6.0,15256.0,2.0,33.0]",1.802360095
25,5906,2,2,33,"[25.0,5906.0,2.0,33.0]",2.224655712
25,9819,1,1,33,"[25.0,9819.0,1.0,33.0]",2.047235016
44,13301,1,1,33,"[44.0,13301.0,1.0,33.0]",1.768773314
31,13233,1,1,33,"[31.0,13233.0,1.0,33.0]",1.930828387
58,3871,1,1,33,"[58.0,3871.0,1.0,33.0]",2.141697101
53,9010,1,1,33,"[53.0,9010.0,1.0,33.0]",1.846046882
28,6085,4,4,33,"[28.0,6085.0,4.0,33.0]",2.793454586
28,21811,6,5,33,"[28.0,21811.0,5.0,33.0]",3.995901565
22,15035,2,2,33,"[22.0,15035.0,2.0,33.0]",1.815080774
22,13367,5,5,33,"[22.0,13367.0,5.0,33.0]",3.61246447
41,20434,1,1,33,"[41.0,20434.0,1.0,33.0]",2.530180143
57,7948,1,1,33,"[57.0,7948.0,1.0,33.0]",1.895422543
15,13416,1,1,33,"[15.0,13416.0,1.0,33.0]",1.802360095
14,2663,1,1,33,"[14.0,2663.0,1.0,33.0]",2.195822269
10,12589,1,1,33,"[10.0,12589.0,1.0,33.0]",1.802360095
24,17773,2,2,33,"[24.0,17773.0,2.0,33.0]",1.815080774
31,22145,3,3,33,"[31.0,22145.0,3.0,33.0]",2.239011625
50,16221,1,1,33,"[50.0,16221.0,1.0,33.0]",1.768773314
6,8113,1,1,33,"[6.0,8113.0,1.0,33.0]",1.914515966
25,17747,4,3,33,"[25.0,17747.0,3.0,33.0]",2.213988815
26,9047,1,1,33,"[26.0,9047.0,1.0,33.0]",2.047235016
31,13834,5,5,33,"[31.0,13834.0,5.0,33.0]",3.728212083
25,15286,1,1,33,"[25.0,15286.0,1.0,33.0]",1.930828387
16,4896,1,1,33,"[16.0,4896.0,1.0,33.0]",2.145967571
5,13334,4,4,33,"[5.0,13334.0,4.0,33.0]",2.394186867
31,10453,1,1,33,"[31.0,10453.0,1.0,33.0]",2.028321241
44,11921,1,1,33,"[44.0,11921.0,1.0,33.0]",1.841275232
35,3442,1,1,33,"[35.0,3442.0,1.0,33.0]",2.191551799
56,2592,1,1,33,"[56.0,2592.0,1.0,33.0]",2.191551799
14,10148,1,1,33,"[14.0,10148.0,1.0,33.0]",1.971374761
19,4838,2,2,33,"[19.0,4838.0,2.0,33.0]",2.145967571
31,14313,1,1,33,"[31.0,14313.0,1.0,33.0]",1.930828387
35,15169,1,1,33,"[35.0,15169.0,1.0,33.0]",1.768773314
57,14335,1,1,33,"[57.0,14335.0,1.0,33.0]",1.781198843
14,3599,1,1,33,"[14.0,3599.0,1.0,33.0]",2.195822269
2,6185,1,1,33,"[2.0,6185.0,1.0,33.0]",2.145967571
22,12730,1,1,33,"[22.0,12730.0,1.0,33.0]",1.815080774
42,5913,2,2,33,"[42.0,5913.0,2.0,33.0]",2.141697101
35,13274,1,1,33,"[35.0,13274.0,1.0,33.0]",1.768773314
58,20266,1,1,33,"[58.0,20266.0,1.0,33.0]",2.364493539
57,12551,1,1,33,"[57.0,12551.0,1.0,33.0]",1.781198843
47,4555,1,1,33,"[47.0,4555.0,1.0,33.0]",2.141697101
28,14802,3,3,33,"[28.0,14802.0,3.0,33.0]",2.213988815
24,8743,1,1,33,"[24.0,8743.0,1.0,33.0]",1.977776765
16,3479,1,1,33,"[16.0,3479.0,1.0,33.0]",2.195822269
26,21811,2,2,33,"[26.0,21811.0,2.0,33.0]",1.978043875
25,17764,2,2,33,"[25.0,17764.0,2.0,33.0]",1.930828387
48,3928,2,1,33,"[48.0,3928.0,1.0,33.0]",2.141697101
